#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-0.004886922,","0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#datetime:,03/07/2013,14:19:00,0.009773844,-,car,step-in,-,6s,(angular,velocity).
##########################################,"-0.004886922,","0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#activity:,8,-,csi,-,car,step-in,-,6s,(angular,velocity).
#subject,id:,10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#first,name:,sub10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#last,name:,sub10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#age:,26,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#height(cm):,170,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#weight(kg):,90,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#gender:,female,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
@data,"-0.004886922,","0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539102205000,","-9.638232,","-7.9589634,",5.139515,-,car,step-in,-,6s,(angular,velocity).
"3539107024000,","-9.638232,","0.73975784,",0.03268129,-,car,step-in,-,6s,(angular,velocity).
"3539112423000,","-1.1725558,","0.73456544,",0.03604105,-,car,step-in,-,6s,(angular,velocity).
"3539117025000,","-1.1722504,","0.7461719,",0.027794369,-,car,step-in,-,6s,(angular,velocity).
"3539121995000,","-1.1817188,","0.7593055,",0.030848695,-,car,step-in,-,6s,(angular,velocity).
"3539126946000,","-1.1884383,","0.7675522,",0.037873644,-,car,step-in,-,6s,(angular,velocity).
"3539131925000,","-1.2061534,","0.77824235,",0.035124753,-,car,step-in,-,6s,(angular,velocity).
"3539136909000,","-1.2156218,","0.75136423,",0.03970624,-,car,step-in,-,6s,(angular,velocity).
"3539141957000,","-1.1902709,","0.7266242,",0.03970624,-,car,step-in,-,6s,(angular,velocity).
"3539146954000,","-1.1551461,","0.8042041,",0.07086037,-,car,step-in,-,6s,(angular,velocity).
"3539151934000,","-1.2675453,","0.7770206,",0.0571159,-,car,step-in,-,6s,(angular,velocity).
"3539156936000,","-1.2449434,","0.77091193,",0.05131268,-,car,step-in,-,6s,(angular,velocity).
"3539161937000,","-1.2327261,","0.76174897,",0.06414085,-,car,step-in,-,6s,(angular,velocity).
"3539166981000,","-1.2403619,","0.7519751,",0.065973446,-,car,step-in,-,6s,(angular,velocity).
"3539171953000,","-1.2409728,","0.7290677,",0.07452556,-,car,step-in,-,6s,(angular,velocity).
"3539176936000,","-1.2366967,","0.71868294,",0.08582657,-,car,step-in,-,6s,(angular,velocity).
"3539181948000,","-1.2486086,","0.6899723,",0.09773844,-,car,step-in,-,6s,(angular,velocity).
"3539186938000,","-1.2241739,","0.62796944,",0.09682214,-,car,step-in,-,6s,(angular,velocity).
"3539191956000,","-1.1398746,","0.5729916,",0.096516706,-,car,step-in,-,6s,(angular,velocity).
"3539196944000,","-1.028697,","0.51068336,",0.093462385,-,car,step-in,-,6s,(angular,velocity).
"3539202157000,","-0.8912524,","0.44501534,",0.0842994,-,car,step-in,-,6s,(angular,velocity).
"3539207027000,","-0.7583892,","0.39461896,",0.073303826,-,car,step-in,-,6s,(angular,velocity).
"3539212126000,","-0.6374379,","0.28252518,",0.05009095,-,car,step-in,-,6s,(angular,velocity).
"3539217103000,","-0.38515055,","0.048258353,",-0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539222068000,","0.0290161,","0.03359759,",-0.0067195175,-,car,step-in,-,6s,(angular,velocity).
"3539227042000,","0.044898596,","0.0580322,",-6.1086525e-4,-,car,step-in,-,6s,(angular,velocity).
"3539232046000,","-0.00580322,","0.06811147,",0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3539237046000,","-0.002443461,","0.0571159,",9.162979e-4,-,car,step-in,-,6s,(angular,velocity).
"3539242186000,","0.004581489,","0.059253927,",0.0030543262,-,car,step-in,-,6s,(angular,velocity).
"3539247073000,","-0.0036651916,","0.0571159,",0.0033597588,-,car,step-in,-,6s,(angular,velocity).
"3539252059000,","-0.004276057,","0.063224554,",0.0033597588,-,car,step-in,-,6s,(angular,velocity).
"3539257054000,","0.00580322,","0.061391957,",9.162979e-4,-,car,step-in,-,6s,(angular,velocity).
"3539262057000,","0.0067195175,","0.059864793,",-0.0012217305,-,car,step-in,-,6s,(angular,velocity).
"3539267503000,","0.008552114,","0.06383542,",-3.0543262e-4,-,car,step-in,-,6s,(angular,velocity).
"3539272050000,","-0.0027488936,","0.062002823,",-0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539277087000,","0.0027488936,","0.06261369,",0.004886922,-,car,step-in,-,6s,(angular,velocity).
"3539282037000,","9.162979e-4,","0.062308256,",0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539287016000,","0.004886922,","0.06383542,",0.004581489,-,car,step-in,-,6s,(angular,velocity).
"3539292072000,","0.0036651916,","0.058643065,",0.0033597588,-,car,step-in,-,6s,(angular,velocity).
"3539297031000,","0.010995574,","0.06261369,",0.0033597588,-,car,step-in,-,6s,(angular,velocity).
"3539302039000,","0.00580322,","0.058643065,",-0.003970624,-,car,step-in,-,6s,(angular,velocity).
"3539307032000,","-0.0015271631,","0.04734206,",3.0543262e-4,-,car,step-in,-,6s,(angular,velocity).
"3539312008000,","-0.0021380284,","0.05467244,",3.0543262e-4,-,car,step-in,-,6s,(angular,velocity).
"3539317135000,","6.1086525e-4,","0.052534413,",0.004581489,-,car,step-in,-,6s,(angular,velocity).
"3539322096000,","-0.0015271631,","0.04795292,",-0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539327089000,","-0.0012217305,","0.057421334,",0.005192355,-,car,step-in,-,6s,(angular,velocity).
"3539332086000,","-3.0543262e-4,","0.056505036,",0.00580322,-,car,step-in,-,6s,(angular,velocity).
"3539337058000,","-0.0015271631,","0.06078109,",3.0543262e-4,-,car,step-in,-,6s,(angular,velocity).
"3539342047000,","-6.1086525e-4,","0.06505715,",-0.0030543262,-,car,step-in,-,6s,(angular,velocity).
"3539347050000,","0.0027488936,","0.06505715,",0.0015271631,-,car,step-in,-,6s,(angular,velocity).
"3539352071000,","0.0033597588,","0.06047566,",-0.0030543262,-,car,step-in,-,6s,(angular,velocity).
"3539357111000,","-0.00580322,","0.061391957,",6.1086525e-4,-,car,step-in,-,6s,(angular,velocity).
"3539362057000,","-0.0030543262,","0.06414085,",3.0543262e-4,-,car,step-in,-,6s,(angular,velocity).
"3539367092000,","-0.0018325958,","0.06291912,",0.004886922,-,car,step-in,-,6s,(angular,velocity).
"3539372114000,","-0.009162978,","0.06291912,",-0.004886922,-,car,step-in,-,6s,(angular,velocity).
"3539377409000,","-0.011301007,","0.05681047,",-0.009162978,-,car,step-in,-,6s,(angular,velocity).
"3539382072000,","-0.007941248,","0.0580322,",-0.003970624,-,car,step-in,-,6s,(angular,velocity).
"3539387044000,","-0.013744468,","0.058948494,",-0.003970624,-,car,step-in,-,6s,(angular,velocity).
"3539392110000,","-0.015882496,","0.058643065,",0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539397152000,","-0.022296581,","0.059864793,",0.0027488936,-,car,step-in,-,6s,(angular,velocity).
"3539403027000,","-0.019242255,","0.057421334,",-9.162979e-4,-,car,step-in,-,6s,(angular,velocity).
"3539407053000,","-0.015577064,","0.058948494,",-0.0012217305,-,car,step-in,-,6s,(angular,velocity).
"3539412045000,","-0.011911872,","0.070249505,",0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539417110000,","-0.0106901415,","0.07941248,",0.005192355,-,car,step-in,-,6s,(angular,velocity).
"3539422136000,","-0.004886922,","0.07513642,",0.008857546,-,car,step-in,-,6s,(angular,velocity).
"3539427100000,","-6.1086525e-4,","0.077579886,",0.010079277,-,car,step-in,-,6s,(angular,velocity).
"3539432036000,","3.0543262e-4,","0.0870483,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539437022000,","-0.005192355,","0.07696902,",0.01160644,-,car,step-in,-,6s,(angular,velocity).
"3539442034000,","0.0018325958,","0.07574729,",0.011911872,-,car,step-in,-,6s,(angular,velocity).
"3539447074000,","-0.007330383,","0.0720821,",0.015271631,-,car,step-in,-,6s,(angular,velocity).
