#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","0.017715093,","-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#datetime:,05/07/2013,10:44:31,0.021685716,-,fall,forward,lying,-,(angular,velocity).
##########################################,"0.017715093,","-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#activity:,10,-,fol,-,fall,forward,lying,-,10s,velocity).
#subject,id:,10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#first,name:,sub10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#last,name:,sub10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#age:,26,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#height(cm):,170,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#weight(kg):,90,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#gender:,female,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
@data,"0.017715093,","-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"750563025000,","4.2189407,","-4.139223,",9.667248,-,fall,forward,lying,-,(angular,velocity).
"750567992000,","4.2189407,","0.7498371,",0.033292156,-,fall,forward,lying,-,(angular,velocity).
"750573033000,","-1.1878275,","0.75655663,",0.03359759,-,fall,forward,lying,-,(angular,velocity).
"750578036000,","-1.1942415,","0.75594574,",0.03481932,-,fall,forward,lying,-,(angular,velocity).
"750583067000,","-1.1881329,","0.7593055,",0.034513887,-,fall,forward,lying,-,(angular,velocity).
"750588013000,","-1.1951579,","0.75502944,",0.035124753,-,fall,forward,lying,-,(angular,velocity).
"750593837000,","-1.1753048,","0.7357872,",0.03176499,-,fall,forward,lying,-,(angular,velocity).
"750598022000,","-1.1673635,","0.77946407,",0.03359759,-,fall,forward,lying,-,(angular,velocity).
"750602893000,","-1.2012665,","0.7846564,",0.03940081,-,fall,forward,lying,-,(angular,velocity).
"750607874000,","-1.2202033,","0.7819075,",0.04153884,-,fall,forward,lying,-,(angular,velocity).
"750612891000,","-1.2290609,","0.75502944,",0.06047566,-,fall,forward,lying,-,(angular,velocity).
"750617874000,","-1.2217305,","0.7507534,",0.06872234,-,fall,forward,lying,-,(angular,velocity).
"750622864000,","-1.2513574,","0.73945236,",0.07971791,-,fall,forward,lying,-,(angular,velocity).
"750627844000,","-1.2544118,","0.7171558,",0.080634214,-,fall,forward,lying,-,(angular,velocity).
"750632854000,","-1.2534955,","0.70066243,",0.09193522,-,fall,forward,lying,-,(angular,velocity).
"750637888000,","-1.2559389,","0.6759224,",0.095294975,-,fall,forward,lying,-,(angular,velocity).
"750642878000,","-1.2550226,","0.6432411,",0.118202426,-,fall,forward,lying,-,(angular,velocity).
"750647852000,","-1.2702943,","0.58001655,",0.11942416,-,fall,forward,lying,-,(angular,velocity).
"750652842000,","-1.2226468,","0.4914411,",0.1328632,-,fall,forward,lying,-,(angular,velocity).
