#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-6.1086525e-4,","0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#datetime:,05/07/2013,10:46:44,0.009773844,-,fall,forward,lying,-,(angular,velocity).
##########################################,"-6.1086525e-4,","0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#activity:,10,-,fol,-,fall,forward,lying,-,10s,velocity).
#subject,id:,10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#first,name:,sub10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#last,name:,sub10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#age:,26,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#height(cm):,170,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#weight(kg):,90,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#gender:,female,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
@data,"-6.1086525e-4,","0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
"883717897000,","-0.93370754,","-3.7519343,",4.111734,-,fall,forward,lying,-,(angular,velocity).
"883722549000,","-0.93370754,","2.8903089,",-9.015454,-,fall,forward,lying,-,(angular,velocity).
"883727530000,","-6.0344324,","0.7486154,",0.029321533,-,fall,forward,lying,-,(angular,velocity).
"883732528000,","-1.1753048,","0.7657196,",0.026267206,-,fall,forward,lying,-,(angular,velocity).
"883737557000,","-1.1917981,","0.729984,",0.036651913,-,fall,forward,lying,-,(angular,velocity).
"883742527000,","-1.2095132,","0.72204274,",0.027794369,-,fall,forward,lying,-,(angular,velocity).
"883747503000,","-1.1441506,","0.73639804,",0.027183503,-,fall,forward,lying,-,(angular,velocity).
"883752513000,","-1.1527027,","0.8060367,",0.06719518,-,fall,forward,lying,-,(angular,velocity).
"883757519000,","-1.5711454,","0.7672467,",0.058643065,-,fall,forward,lying,-,(angular,velocity).
"883762577000,","-1.2348641,","0.7703011,",0.0580322,-,fall,forward,lying,-,(angular,velocity).
"883767528000,","-1.2235631,","0.75655663,",0.0571159,-,fall,forward,lying,-,(angular,velocity).
"883772553000,","-1.2186762,","0.74372846,",0.062308256,-,fall,forward,lying,-,(angular,velocity).
"883777548000,","-1.2180653,","0.7351763,",0.07238753,-,fall,forward,lying,-,(angular,velocity).
"883782547000,","-1.1976013,","0.7281514,",0.074830994,-,fall,forward,lying,-,(angular,velocity).
"883788068000,","-1.1905763,","0.6976081,",0.09132435,-,fall,forward,lying,-,(angular,velocity).
"883792561000,","-1.1609493,","0.63346726,",0.08552113,-,fall,forward,lying,-,(angular,velocity).
"883797550000,","-1.0485502,","0.5467244,",0.07941248,-,fall,forward,lying,-,(angular,velocity).
"883802556000,","-0.92149025,","0.4361578,",0.056199603,-,fall,forward,lying,-,(angular,velocity).
"883807523000,","-0.7611381,","0.32284227,",0.048258353,-,fall,forward,lying,-,(angular,velocity).
"883812658000,","-0.625526,","0.20677789,",0.03756821,-,fall,forward,lying,-,(angular,velocity).
"883817654000,","-0.47647488,","0.0070249503,",0.030848695,-,fall,forward,lying,-,(angular,velocity).
"883822757000,","-0.21655174,","-0.2724459,",0.007941248,-,fall,forward,lying,-,(angular,velocity).
"883827678000,","0.20769419,","-0.3182608,",0.031154128,-,fall,forward,lying,-,(angular,velocity).
"883832669000,","0.20799962,","-0.33536503,",0.07544186,-,fall,forward,lying,-,(angular,velocity).
"883837718000,","0.14355333,","-0.33964106,",0.11789699,-,fall,forward,lying,-,(angular,velocity).
"883842699000,","0.12950343,","-0.36041048,",0.13255776,-,fall,forward,lying,-,(angular,velocity).
"883847690000,","0.13683382,","-0.37384954,",0.16462818,-,fall,forward,lying,-,(angular,velocity).
"883852674000,","0.1282817,","-0.38362336,",0.19150625,-,fall,forward,lying,-,(angular,velocity).
"883857764000,","0.112399206,","-0.39003745,",0.21502456,-,fall,forward,lying,-,(angular,velocity).
"883862712000,","0.12003502,","-0.38423425,",0.22999077,-,fall,forward,lying,-,(angular,velocity).
"883867648000,","0.11636983,","-0.3839288,",0.23365596,-,fall,forward,lying,-,(angular,velocity).
"883872618000,","0.12644911,","-0.376293,",0.2415972,-,fall,forward,lying,-,(angular,velocity).
"883877610000,","0.1386664,","-0.38606682,",0.25167647,-,fall,forward,lying,-,(angular,velocity).
"883882620000,","0.1563815,","-0.37659842,",0.25137106,-,fall,forward,lying,-,(angular,velocity).
"883887669000,","0.15363261,","-0.37018433,",0.25717425,-,fall,forward,lying,-,(angular,velocity).
