#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","0.20111294,","19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#datetime:,28/05/2013,10:34:59,-0.5650316,-,jogging,-,30s,(including,gravity).
##########################################,"0.20111294,","19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#activity:,3,-,jog,-,jogging,-,30s,(including,gravity).
#subject,id:,5,-0.5650316,-,jogging,-,30s,(including,gravity).
#first,name:,sub5,-0.5650316,-,jogging,-,30s,(including,gravity).
#last,name:,sub5,-0.5650316,-,jogging,-,30s,(including,gravity).
#age:,36,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#height(cm):,160,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#weight(kg):,50,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#gender:,female,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
@data,"0.20111294,","19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
"880179610000,","0.076614454,","9.940725,",0.29688102,-,jogging,-,30s,(including,gravity).
"880381752000,","0.1340753,","9.864111,",0.05746084,-,jogging,-,30s,(including,gravity).
"880580869000,","-0.16280572,","9.892841,",0.19153613,-,jogging,-,30s,(including,gravity).
"880782479000,","0.15322891,","10.237606,",1.2641385,-,jogging,-,30s,(including,gravity).
"880792942000,","0.25857377,","10.065224,",1.1492168,-,jogging,-,30s,(including,gravity).
"880803728000,","0.34476504,","9.873688,",0.91937345,-,jogging,-,30s,(including,gravity).
"880814142000,","0.46926352,","9.730036,",0.6895301,-,jogging,-,30s,(including,gravity).
"880824851000,","0.90021986,","9.701305,",0.37349546,-,jogging,-,30s,(including,gravity).
"880837428000,","1.043872,","9.653421,",0.20111294,-,jogging,-,30s,(including,gravity).
"880849141000,","1.1204864,","9.586384,",0.047884032,-,jogging,-,30s,(including,gravity).
"880858984000,","1.1492168,","9.5385,",-0.02873042,-,jogging,-,30s,(including,gravity).
"880883386000,","1.1013328,","9.768343,",0.06703765,-,jogging,-,30s,(including,gravity).
"880892931000,","1.2066777,","9.911995,",0.35434186,-,jogging,-,30s,(including,gravity).
"880904790000,","0.94810385,","9.797073,",0.8714894,-,jogging,-,30s,(including,gravity).
"880915229000,","0.90979666,","9.730036,",1.1300632,-,jogging,-,30s,(including,gravity).
"880925196000,","0.7278373,","9.710882,",1.3790601,-,jogging,-,30s,(including,gravity).
"880938508000,","0.49799395,","9.710882,",1.5801731,-,jogging,-,30s,(including,gravity).
"880948790000,","0.45010993,","9.787497,",1.5897499,-,jogging,-,30s,(including,gravity).
"880960137000,","-0.02873042,","9.528923,",1.7429788,-,jogging,-,30s,(including,gravity).
"880970144000,","-0.10534488,","9.634268,",1.7142484,-,jogging,-,30s,(including,gravity).
"880982924000,","-0.7565677,","9.452309,",1.6184803,-,jogging,-,30s,(including,gravity).
"880993545000,","-0.82360536,","9.548077,",1.340753,-,jogging,-,30s,(including,gravity).
"881008261000,","-1.1300632,","9.433155,",1.2354081,-,jogging,-,30s,(including,gravity).
"881019936000,","-1.4556746,","9.442732,",0.842759,-,jogging,-,30s,(including,gravity).
"881032849000,","-1.6280571,","9.595961,",0.30645782,-,jogging,-,30s,(including,gravity).
"881044222000,","-1.685518,","9.662998,",0.009576807,-,jogging,-,30s,(including,gravity).
"881058172000,","-1.5897499,","9.787497,",-0.24899697,-,jogging,-,30s,(including,gravity).
"881070255000,","-1.4652514,","9.892841,",-0.50757074,-,jogging,-,30s,(including,gravity).
"881082214000,","-0.6799533,","9.825804,",-0.6895301,-,jogging,-,30s,(including,gravity).
"881092956000,","-0.19153613,","9.682152,",-0.6512229,-,jogging,-,30s,(including,gravity).
"881104355000,","0.31603462,","9.615114,",-0.5363012,-,jogging,-,30s,(including,gravity).
"881114927000,","0.58418524,","9.720459,",-0.36391866,-,jogging,-,30s,(including,gravity).
"881129746000,","0.45010993,","9.816227,",-0.34476504,-,jogging,-,30s,(including,gravity).
"881140357000,","-0.06703765,","10.726024,",-0.47884035,-,jogging,-,30s,(including,gravity).
"881149931000,","-1.0342951,","10.496181,",-0.5650316,-,jogging,-,30s,(including,gravity).
"881160653000,","-1.5035586,","10.477027,",-0.7182605,-,jogging,-,30s,(including,gravity).
"881171822000,","-1.8004397,","10.764331,",-0.62249243,-,jogging,-,30s,(including,gravity).
"881183946000,","-1.8962077,","10.70687,",-0.51714754,-,jogging,-,30s,(including,gravity).
"881193322000,","-1.8483237,","10.553641,",-0.37349546,-,jogging,-,30s,(including,gravity).
"881203747000,","-1.5897499,","10.457873,",-0.24899697,-,jogging,-,30s,(including,gravity).
"881214756000,","-1.4077905,","10.160992,",-0.24899697,-,jogging,-,30s,(including,gravity).
"881223946000,","-1.2449849,","9.797073,",-0.1340753,-,jogging,-,30s,(including,gravity).
"881234181000,","-1.1013328,","9.500193,",0.047884032,-,jogging,-,30s,(including,gravity).
