#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-1.0177015,","0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#datetime:,29/05/2013,14:16:16,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
##########################################,"-1.0177015,","0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#activity:,4,-,jum,-,jumping,-,30s,axes,(angular,velocity).
#subject,id:,7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#first,name:,sub7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#last,name:,sub7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#age:,25,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#height(cm):,189,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#weight(kg):,80,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#gender:,male,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
@data,"-1.0177015,","0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
"4031868387000,","-4.476115,","3.3050864,",-7.9131484,-,jumping,-,30s,axes,(angular,velocity).
"4031873319000,","-4.476115,","1.4782939,",6.872234,-,jumping,-,30s,axes,(angular,velocity).
"4031878328000,","-2.7892108,","0.74220127,",0.033292156,-,jumping,-,30s,axes,(angular,velocity).
"4031883327000,","-1.174083,","0.7480045,",0.034208454,-,jumping,-,30s,axes,(angular,velocity).
"4031888338000,","-1.1704178,","0.7535023,",0.03390302,-,jumping,-,30s,axes,(angular,velocity).
"4031893396000,","-1.1820242,","0.7693848,",0.03023783,-,jumping,-,30s,axes,(angular,velocity).
"4031898357000,","-1.1976013,","0.766025,",0.03023783,-,jumping,-,30s,axes,(angular,velocity).
"4031903347000,","-1.2018774,","0.7699956,",0.036651913,-,jumping,-,30s,axes,(angular,velocity).
"4031908388000,","-1.1994339,","0.74006325,",0.028405234,-,jumping,-,30s,axes,(angular,velocity).
"4031913320000,","-1.1661417,","0.7113526,",0.030543262,-,jumping,-,30s,axes,(angular,velocity).
"4031918338000,","-1.1242975,","0.80939645,",0.05497787,-,jumping,-,30s,axes,(angular,velocity).
"4031923344000,","-1.2366967,","0.7779369,",0.046731193,-,jumping,-,30s,axes,(angular,velocity).
"4031928371000,","-1.1945469,","0.7791586,",0.055283304,-,jumping,-,30s,axes,(angular,velocity).
"4031934090000,","-1.1756102,","0.7828238,",0.064446285,-,jumping,-,30s,axes,(angular,velocity).
"4031938373000,","-1.1441506,","0.7812967,",0.067500606,-,jumping,-,30s,axes,(angular,velocity).
"4031943358000,","-1.1053606,","0.7800749,",0.07238753,-,jumping,-,30s,axes,(angular,velocity).
"4031948420000,","-1.0659598,","0.7675522,",0.07819075,-,jumping,-,30s,axes,(angular,velocity).
"4031953347000,","-1.0143417,","0.75686204,",0.08277224,-,jumping,-,30s,axes,(angular,velocity).
"4031958329000,","-0.9618073,","0.6881397,",0.09162979,-,jumping,-,30s,axes,(angular,velocity).
"4031963367000,","-0.8026769,","0.61422503,",0.08827003,-,jumping,-,30s,axes,(angular,velocity).
"4031968341000,","-0.6239988,","0.5128214,",0.08368854,-,jumping,-,30s,axes,(angular,velocity).
"4031973343000,","-0.42149702,","0.42210788,",0.08827003,-,jumping,-,30s,axes,(angular,velocity).
"4031978363000,","-0.24862215,","0.3323107,",0.09132435,-,jumping,-,30s,axes,(angular,velocity).
"4031983300000,","-0.09773844,","0.16584991,",0.06566802,-,jumping,-,30s,axes,(angular,velocity).
"4031988336000,","0.17928895,","-0.08093964,",0.029321533,-,jumping,-,30s,axes,(angular,velocity).
"4031993426000,","0.5531385,","-0.09285152,",0.02321288,-,jumping,-,30s,axes,(angular,velocity).
"4031998351000,","0.50976706,","-0.087964594,",0.025350908,-,jumping,-,30s,axes,(angular,velocity).
"4032003735000,","0.4269948,","-0.07819075,",0.034208454,-,jumping,-,30s,axes,(angular,velocity).
"4032008359000,","0.3839288,","-0.070554934,",0.02565634,-,jumping,-,30s,axes,(angular,velocity).
"4032013375000,","0.36713,","-0.0720821,",0.030848695,-,jumping,-,30s,axes,(angular,velocity).
"4032018341000,","0.3408628,","-0.046731193,",0.026572637,-,jumping,-,30s,axes,(angular,velocity).
"4032023372000,","0.29535335,","-0.046731193,",0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4032028333000,","0.26908615,","-0.04734206,",0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4032033337000,","0.23884831,","-0.05375614,",0.01740966,-,jumping,-,30s,axes,(angular,velocity).
"4032038345000,","0.20799962,","-0.05009095,",0.016798794,-,jumping,-,30s,axes,(angular,velocity).
"4032043551000,","0.18570304,","-0.06872234,",0.013744468,-,jumping,-,30s,axes,(angular,velocity).
"4032048548000,","0.16249016,","-0.0571159,",0.023823744,-,jumping,-,30s,axes,(angular,velocity).
"4032053350000,","0.14049901,","-0.050396383,",0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4032058386000,","0.13103059,","-0.07086037,",0.011911872,-,jumping,-,30s,axes,(angular,velocity).
"4032063355000,","0.124005646,","-0.11209377,",-0.008857546,-,jumping,-,30s,axes,(angular,velocity).
"4032068339000,","0.12156218,","-0.17837265,",-0.016187929,-,jumping,-,30s,axes,(angular,velocity).
"4032073393000,","0.12461651,","-0.23518312,",-0.022296581,-,jumping,-,30s,axes,(angular,velocity).
"4032078453000,","0.129198,","-0.27305678,",-0.033292156,-,jumping,-,30s,axes,(angular,velocity).
"4032083289000,","0.13958271,","-0.28130344,",-0.037873644,-,jumping,-,30s,axes,(angular,velocity).
"4032088348000,","0.14782938,","-0.28680122,",-0.04062254,-,jumping,-,30s,axes,(angular,velocity).
"4032093319000,","0.1441642,","-0.27885997,",-0.050396383,-,jumping,-,30s,axes,(angular,velocity).
"4032098306000,","0.13805555,","-0.26297748,",-0.056199603,-,jumping,-,30s,axes,(angular,velocity).
"4032103288000,","0.13897185,","-0.23548855,",-0.05467244,-,jumping,-,30s,axes,(angular,velocity).
"4032108322000,","0.12889257,","-0.21074851,",-0.058948494,-,jumping,-,30s,axes,(angular,velocity).
"4032113304000,","0.11301007,","-0.18600847,",-0.052534413,-,jumping,-,30s,axes,(angular,velocity).
"4032119231000,","0.112399206,","-0.16187929,",-0.05467244,-,jumping,-,30s,axes,(angular,velocity).
"4032123319000,","0.10720685,","-0.14905111,",-0.05222898,-,jumping,-,30s,axes,(angular,velocity).
"4032128326000,","0.09132435,","-0.12095132,",-0.043982297,-,jumping,-,30s,axes,(angular,velocity).
"4032133336000,","0.06841691,","-0.10293079,",-0.05375614,-,jumping,-,30s,axes,(angular,velocity).
"4032138339000,","0.064751714,","-0.07880162,",-0.059864793,-,jumping,-,30s,axes,(angular,velocity).
"4032143339000,","0.05681047,","-0.07238753,",-0.0580322,-,jumping,-,30s,axes,(angular,velocity).
"4032148361000,","0.054061573,","-0.06414085,",-0.059253927,-,jumping,-,30s,axes,(angular,velocity).
"4032153337000,","0.056505036,","-0.058643065,",-0.056199603,-,jumping,-,30s,axes,(angular,velocity).
"4032158380000,","0.050396383,","-0.06291912,",-0.057726767,-,jumping,-,30s,axes,(angular,velocity).
"4032163343000,","0.053145275,","-0.07788532,",-0.064446285,-,jumping,-,30s,axes,(angular,velocity).
"4032168352000,","0.034513887,","-0.099571034,",-0.0580322,-,jumping,-,30s,axes,(angular,velocity).
"4032173381000,","0.039095376,","-0.12767084,",-0.05375614,-,jumping,-,30s,axes,(angular,velocity).
"4032178354000,","0.03634648,","-0.14935656,",-0.045814894,-,jumping,-,30s,axes,(angular,velocity).
"4032183279000,","0.019547688,","-0.17928895,",-0.040317107,-,jumping,-,30s,axes,(angular,velocity).
"4032189287000,","0.015271631,","-0.21960606,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
"4032193326000,","0.013744468,","-0.24678956,",-0.027183503,-,jumping,-,30s,axes,(angular,velocity).
"4032198345000,","3.0543262e-4,","-0.27091873,",-0.024740042,-,jumping,-,30s,axes,(angular,velocity).
"4032203336000,","0.011301007,","-0.28802297,",-0.01282817,-,jumping,-,30s,axes,(angular,velocity).
"4032208360000,","0.018325957,","-0.2938262,",-0.0125227375,-,jumping,-,30s,axes,(angular,velocity).
"4032213347000,","0.022602014,","-0.3023783,",-0.012217305,-,jumping,-,30s,axes,(angular,velocity).
"4032218345000,","0.028710667,","-0.301462,",-0.013744468,-,jumping,-,30s,axes,(angular,velocity).
"4032223353000,","0.032070424,","-0.29901853,",-0.018325957,-,jumping,-,30s,axes,(angular,velocity).
"4032228356000,","0.049785517,","-0.28771752,",-0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4032233343000,","0.058948494,","-0.27214047,",-0.027183503,-,jumping,-,30s,axes,(angular,velocity).
"4032238333000,","0.062308256,","-0.2510656,",-0.026572637,-,jumping,-,30s,axes,(angular,velocity).
"4032243370000,","0.0842994,","-0.22602014,",-0.02687807,-,jumping,-,30s,axes,(angular,velocity).
"4032248358000,","0.0983493,","-0.2012801,",-0.039095376,-,jumping,-,30s,axes,(angular,velocity).
"4032253347000,","0.09132435,","-0.183565,",-0.04520403,-,jumping,-,30s,axes,(angular,velocity).
"4032258358000,","0.11209377,","-0.16829337,",-0.037873644,-,jumping,-,30s,axes,(angular,velocity).
"4032263353000,","0.12767084,","-0.13958271,",-0.03940081,-,jumping,-,30s,axes,(angular,velocity).
"4032268344000,","0.13439035,","-0.13103059,",-0.04337143,-,jumping,-,30s,axes,(angular,velocity).
