#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-1.0693196,","-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#datetime:,29/05/2013,14:18:30,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
##########################################,"-1.0693196,","-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#activity:,4,-,jum,-,jumping,-,30s,axes,(angular,velocity).
#subject,id:,7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#first,name:,sub7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#last,name:,sub7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#age:,25,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#height(cm):,189,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#weight(kg):,80,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#gender:,male,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
@data,"-1.0693196,","-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
"4165868920000,","-1.1334605,","0.71837753,",0.032375857,-,jumping,-,30s,axes,(angular,velocity).
"4165873994000,","-1.1334605,","0.7440339,",0.03268129,-,jumping,-,30s,axes,(angular,velocity).
"4165878915000,","-1.1743884,","0.7449502,",0.034513887,-,jumping,-,30s,axes,(angular,velocity).
"4165883959000,","-1.1759156,","0.7489208,",0.039095376,-,jumping,-,30s,axes,(angular,velocity).
"4165888878000,","-1.1725558,","0.75319684,",0.028710667,-,jumping,-,30s,axes,(angular,velocity).
"4165893866000,","-1.17897,","0.76052725,",0.03145956,-,jumping,-,30s,axes,(angular,velocity).
"4165898891000,","-1.1939361,","0.77121735,",0.035124753,-,jumping,-,30s,axes,(angular,velocity).
"4165904321000,","-1.2073752,","0.76174897,",0.040317107,-,jumping,-,30s,axes,(angular,velocity).
"4165908872000,","-1.2043208,","0.73853606,",0.038789943,-,jumping,-,30s,axes,(angular,velocity).
"4165913933000,","-1.1695015,","0.70524395,",0.02565634,-,jumping,-,30s,axes,(angular,velocity).
"4165918872000,","-1.1301007,","0.8155051,",0.060170226,-,jumping,-,30s,axes,(angular,velocity).
"4165923865000,","-1.2651019,","0.7654142,",0.050701816,-,jumping,-,30s,axes,(angular,velocity).
"4165928884000,","-1.2244794,","0.75502944,",0.046731193,-,jumping,-,30s,axes,(angular,velocity).
"4165933978000,","-1.2073752,","0.7360926,",0.050701816,-,jumping,-,30s,axes,(angular,velocity).
"4165938865000,","-1.1917981,","0.71929383,",0.059864793,-,jumping,-,30s,axes,(angular,velocity).
"4165943885000,","-1.1777482,","0.6963864,",0.059864793,-,jumping,-,30s,axes,(angular,velocity).
"4165948892000,","-1.1438452,","0.6658431,",0.06414085,-,jumping,-,30s,axes,(angular,velocity).
"4165953947000,","-1.1175779,","0.62125,",0.055283304,-,jumping,-,30s,axes,(angular,velocity).
"4165958936000,","-1.0296134,","0.5412266,",0.03481932,-,jumping,-,30s,axes,(angular,velocity).
