#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","6.885724,","6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#datetime:,03/07/2013,14:06:01,3.1316159,-,sit,chair,-,(including,gravity).
##########################################,"6.885724,","6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#activity:,7,-,sch,-,sit,chair,-,6s,gravity).
#subject,id:,10,3.1316159,-,sit,chair,-,(including,gravity).
#first,name:,sub10,3.1316159,-,sit,chair,-,(including,gravity).
#last,name:,sub10,3.1316159,-,sit,chair,-,(including,gravity).
#age:,26,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#height(cm):,170,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#weight(kg):,90,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#gender:,female,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
@data,"6.885724,","6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
"2959262204000,","-1.6567876,","9.825804,",-0.9672575,-,sit,chair,-,(including,gravity).
"2959271968000,","-1.5897499,","9.701305,",-0.90979666,-,sit,chair,-,(including,gravity).
"2959282277000,","-1.4173675,","9.624691,",-0.89064306,-,sit,chair,-,(including,gravity).
"2959292397000,","-1.2258313,","9.643845,",-0.90021986,-,sit,chair,-,(including,gravity).
"2959302158000,","-1.0726024,","9.710882,",-0.91937345,-,sit,chair,-,(including,gravity).
"2959313095000,","-1.0247183,","9.768343,",-0.9672575,-,sit,chair,-,(including,gravity).
"2959322563000,","-1.0342951,","9.844957,",-1.0055647,-,sit,chair,-,(including,gravity).
"2959334278000,","-1.0247183,","9.854534,",-1.13964,-,sit,chair,-,(including,gravity).
"2959346053000,","-1.043872,","9.854534,",-1.1109096,-,sit,chair,-,(including,gravity).
"2959358546000,","-0.9959879,","9.873688,",-1.0247183,-,sit,chair,-,(including,gravity).
"2959368411000,","-0.9768343,","9.873688,",-0.92895025,-,sit,chair,-,(including,gravity).
"2959378290000,","-0.9576807,","9.902418,",-0.8810662,-,sit,chair,-,(including,gravity).
"2959390604000,","-0.9864111,","9.931149,",-0.8714894,-,sit,chair,-,(including,gravity).
"2959400682000,","-1.0151415,","9.921572,",-0.8523358,-,sit,chair,-,(including,gravity).
"2959411397000,","-1.0726024,","9.892841,",-0.8331822,-,sit,chair,-,(including,gravity).
"2959421118000,","-1.1300632,","9.873688,",-0.80445176,-,sit,chair,-,(including,gravity).
"2959432056000,","-1.1683705,","9.844957,",-0.8714894,-,sit,chair,-,(including,gravity).
"2959441926000,","-1.1779473,","9.816227,",-0.8619126,-,sit,chair,-,(including,gravity).
"2959452433000,","-1.1300632,","9.835381,",-0.8523358,-,sit,chair,-,(including,gravity).
"2959462834000,","-1.1587936,","9.902418,",-0.9864111,-,sit,chair,-,(including,gravity).
"2959472223000,","-1.1204864,","9.902418,",-0.9864111,-,sit,chair,-,(including,gravity).
"2959483022000,","-1.1779473,","9.816227,",-0.7182605,-,sit,chair,-,(including,gravity).
"2959493257000,","-1.2354081,","9.758766,",-1.6089035,-,sit,chair,-,(including,gravity).
"2959502866000,","-1.1683705,","9.653421,",-1.292869,-,sit,chair,-,(including,gravity).
"2959513560000,","-1.3311762,","9.624691,",-0.6799533,-,sit,chair,-,(including,gravity).
"2959523129000,","-1.3982137,","9.653421,",-1.6184803,-,sit,chair,-,(including,gravity).
"2959533588000,","-1.388637,","9.682152,",-1.2737153,-,sit,chair,-,(including,gravity).
"2959543905000,","-1.5035586,","9.691729,",-0.79487497,-,sit,chair,-,(including,gravity).
"2959553608000,","-1.532289,","9.682152,",-1.5514427,-,sit,chair,-,(including,gravity).
"2959563967000,","-1.5035586,","9.653421,",-1.3790601,-,sit,chair,-,(including,gravity).
"2959576481000,","-1.4652514,","9.634268,",-1.1587936,-,sit,chair,-,(including,gravity).
"2959587844000,","-1.436521,","9.662998,",-1.0342951,-,sit,chair,-,(including,gravity).
"2959598624000,","-1.4173675,","9.720459,",-0.9768343,-,sit,chair,-,(including,gravity).
"2959608334000,","-1.4173675,","9.749189,",-0.842759,-,sit,chair,-,(including,gravity).
"2959618148000,","-1.4077905,","9.787497,",-0.8714894,-,sit,chair,-,(including,gravity).
"2959627964000,","-1.3599066,","9.844957,",-0.7565677,-,sit,chair,-,(including,gravity).
"2959639078000,","-1.340753,","9.864111,",-0.7278373,-,sit,chair,-,(including,gravity).
"2959648706000,","-1.3215994,","9.844957,",-0.81402856,-,sit,chair,-,(including,gravity).
"2959660654000,","-1.2737153,","9.739613,",-0.8810662,-,sit,chair,-,(including,gravity).
"2959670096000,","-1.2258313,","9.701305,",-0.9864111,-,sit,chair,-,(including,gravity).
"2959682667000,","-1.2066777,","9.701305,",-0.9959879,-,sit,chair,-,(including,gravity).
"2959692547000,","-1.1779473,","9.739613,",-1.0151415,-,sit,chair,-,(including,gravity).
"2959702604000,","-1.1204864,","9.77792,",-1.043872,-,sit,chair,-,(including,gravity).
"2959712770000,","-1.1300632,","9.816227,",-1.043872,-,sit,chair,-,(including,gravity).
"2959723073000,","-1.0726024,","9.854534,",-1.0726024,-,sit,chair,-,(including,gravity).
