#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","-8.485051,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#datetime:,29/05/2013,15:47:41,4.3957543,-,sit,chair,-,(including,gravity).
##########################################,"-8.485051,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#activity:,7,-,sch,-,sit,chair,-,6s,gravity).
#subject,id:,9,4.3957543,-,sit,chair,-,(including,gravity).
#first,name:,sub9,4.3957543,-,sit,chair,-,(including,gravity).
#last,name:,sub9,4.3957543,-,sit,chair,-,(including,gravity).
#age:,30,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#height(cm):,177,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#weight(kg):,102,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#gender:,male,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
@data,"-8.485051,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
"8589106525000,","-0.90021986,","9.77792,",-0.6799533,-,sit,chair,-,(including,gravity).
"8589307013000,","-1.0534488,","9.854534,",-0.6607997,-,sit,chair,-,(including,gravity).
"8589507433000,","-1.091756,","9.80665,",-0.641646,-,sit,chair,-,(including,gravity).
"8589519012000,","-1.1109096,","9.77792,",-0.6991069,-,sit,chair,-,(including,gravity).
"8589528572000,","-1.1779473,","9.797073,",-0.7086837,-,sit,chair,-,(including,gravity).
"8589540255000,","-1.2066777,","9.787497,",-0.7278373,-,sit,chair,-,(including,gravity).
"8589552608000,","-1.292869,","9.768343,",-0.78529817,-,sit,chair,-,(including,gravity).
"8589565171000,","-1.3120226,","9.720459,",-0.7565677,-,sit,chair,-,(including,gravity).
"8589577703000,","-1.3120226,","9.672575,",-0.6607997,-,sit,chair,-,(including,gravity).
"8589590261000,","-1.3120226,","9.710882,",-0.6703765,-,sit,chair,-,(including,gravity).
"8589602556000,","-1.2545617,","9.701305,",-0.6512229,-,sit,chair,-,(including,gravity).
"8589615081000,","-1.2162545,","9.758766,",-0.62249243,-,sit,chair,-,(including,gravity).
"8589630824000,","-1.0342951,","9.892841,",-0.6991069,-,sit,chair,-,(including,gravity).
"8589643265000,","-0.9768343,","9.940725,",-0.7086837,-,sit,chair,-,(including,gravity).
"8589653876000,","-0.90021986,","9.950302,",-0.7661445,-,sit,chair,-,(including,gravity).
"8589665268000,","-0.82360536,","9.998186,",-0.7374141,-,sit,chair,-,(including,gravity).
"8589677818000,","-0.7757214,","9.988609,",-0.6607997,-,sit,chair,-,(including,gravity).
"8589690438000,","-0.7374141,","10.036493,",-0.641646,-,sit,chair,-,(including,gravity).
"8589702822000,","-0.7182605,","10.055647,",-0.60333884,-,sit,chair,-,(including,gravity).
"8589715286000,","-0.7469909,","9.998186,",-0.49799395,-,sit,chair,-,(including,gravity).
"8589727711000,","-0.7182605,","9.998186,",-0.45968673,-,sit,chair,-,(including,gravity).
"8589740222000,","-0.7182605,","9.969456,",-0.46926352,-,sit,chair,-,(including,gravity).
"8589753192000,","-0.7278373,","9.959879,",-0.50757074,-,sit,chair,-,(including,gravity).
"8589764726000,","-0.7278373,","9.959879,",-0.5746084,-,sit,chair,-,(including,gravity).
"8589774435000,","-0.7469909,","9.940725,",-0.61291564,-,sit,chair,-,(including,gravity).
"8589784133000,","-0.7469909,","9.854534,",-0.6895301,-,sit,chair,-,(including,gravity).
"8589794420000,","-0.7278373,","9.77792,",-0.7565677,-,sit,chair,-,(including,gravity).
"8589804683000,","-0.7374141,","9.739613,",-0.80445176,-,sit,chair,-,(including,gravity).
"8589816380000,","-0.7182605,","9.710882,",-0.90979666,-,sit,chair,-,(including,gravity).
"8589825807000,","-0.7469909,","9.710882,",-1.0055647,-,sit,chair,-,(including,gravity).
"8589840005000,","-0.7757214,","9.739613,",-1.0630256,-,sit,chair,-,(including,gravity).
"8589849551000,","-0.80445176,","9.720459,",-1.091756,-,sit,chair,-,(including,gravity).
"8589863593000,","-0.8714894,","9.710882,",-1.091756,-,sit,chair,-,(including,gravity).
"8589873592000,","-0.91937345,","9.701305,",-1.0247183,-,sit,chair,-,(including,gravity).
"8589884703000,","-0.9864111,","9.682152,",-0.9768343,-,sit,chair,-,(including,gravity).
"8589894227000,","-1.043872,","9.672575,",-0.9672575,-,sit,chair,-,(including,gravity).
"8589904027000,","-1.1013328,","9.662998,",-0.8810662,-,sit,chair,-,(including,gravity).
"8589916384000,","-1.1492168,","9.672575,",-0.81402856,-,sit,chair,-,(including,gravity).
"8589925707000,","-1.2449849,","9.653421,",-0.7757214,-,sit,chair,-,(including,gravity).
"8589939401000,","-1.2737153,","9.730036,",-0.7661445,-,sit,chair,-,(including,gravity).
"8589949087000,","-1.3215994,","9.80665,",-0.6799533,-,sit,chair,-,(including,gravity).
"8589958683000,","-1.340753,","9.844957,",-0.5363012,-,sit,chair,-,(including,gravity).
"8589970724000,","-1.2641385,","10.007763,",-0.37349546,-,sit,chair,-,(including,gravity).
"8589982341000,","-1.1971009,","10.113108,",-0.40222588,-,sit,chair,-,(including,gravity).
"8589994058000,","-1.1109096,","10.180145,",-0.45010993,-,sit,chair,-,(including,gravity).
"8590004322000,","-1.0055647,","10.170568,",-0.4405331,-,sit,chair,-,(including,gravity).
"8590015677000,","-0.90021986,","10.113108,",-0.45968673,-,sit,chair,-,(including,gravity).
"8590026052000,","-0.7469909,","10.084377,",-0.51714754,-,sit,chair,-,(including,gravity).
"8590035287000,","-0.641646,","10.036493,",-0.49799395,-,sit,chair,-,(including,gravity).
"8590048958000,","-0.4213795,","9.873688,",-0.37349546,-,sit,chair,-,(including,gravity).
"8590058955000,","-0.34476504,","9.825804,",-0.22984336,-,sit,chair,-,(including,gravity).
"8590070615000,","-0.32561144,","9.835381,",-0.32561144,-,sit,chair,-,(including,gravity).
"8590080236000,","-0.36391866,","9.864111,",-0.36391866,-,sit,chair,-,(including,gravity).
"8590090972000,","-0.4405331,","9.844957,",-0.38307226,-,sit,chair,-,(including,gravity).
"8590103188000,","-0.545878,","9.730036,",-0.2873042,-,sit,chair,-,(including,gravity).
"8590118775000,","-0.45968673,","9.452309,",0.1340753,-,sit,chair,-,(including,gravity).
"8590130239000,","-0.36391866,","9.423578,",0.46926352,-,sit,chair,-,(including,gravity).
"8590143640000,","-0.39264908,","9.394848,",0.78529817,-,sit,chair,-,(including,gravity).
"8590152960000,","-0.4309563,","9.289502,",1.0151415,-,sit,chair,-,(including,gravity).
"8590167519000,","-0.2873042,","8.695741,",0.8714894,-,sit,chair,-,(including,gravity).
"8590178159000,","-0.39264908,","8.350976,",0.37349546,-,sit,chair,-,(including,gravity).
"8590188396000,","-0.61291564,","8.322245,",-0.095768064,-,sit,chair,-,(including,gravity).
"8590199709000,","-0.8714894,","8.408437,",-0.40222588,-,sit,chair,-,(including,gravity).
"8590212464000,","-1.0055647,","8.418014,",-0.5746084,-,sit,chair,-,(including,gravity).
"8590223798000,","-1.1683705,","8.475474,",-0.78529817,-,sit,chair,-,(including,gravity).
"8590233566000,","-1.3503298,","8.532935,",-0.92895025,-,sit,chair,-,(including,gravity).
"8590244314000,","-1.6280571,","8.63828,",-0.92895025,-,sit,chair,-,(including,gravity).
"8590257291000,","-2.3942018,","9.059659,",-0.51714754,-,sit,chair,-,(including,gravity).
