#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","-9.059659,","2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#datetime:,05/07/2013,10:40:33,2.3175871,-,sideward,lying,-,(including,gravity).
##########################################,"-9.059659,","2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#activity:,13,-,sdl,-,sideward,lying,-,10s,gravity).
#subject,id:,2,2.3175871,-,sideward,lying,-,(including,gravity).
#first,name:,sub2,2.3175871,-,sideward,lying,-,(including,gravity).
#last,name:,sub2,2.3175871,-,sideward,lying,-,(including,gravity).
#age:,26,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#height(cm):,169,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#weight(kg):,64,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#gender:,male,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
@data,"-9.059659,","2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
"523400849000,","-2.0494366,","10.342952,",1.9153614,-,sideward,lying,-,(including,gravity).
"523599515000,","-1.2641385,","10.132261,",-0.34476504,-,sideward,lying,-,(including,gravity).
"523800316000,","-1.5131354,","9.672575,",0.095768064,-,sideward,lying,-,(including,gravity).
"524000540000,","-1.7429788,","10.1226845,",1.2354081,-,sideward,lying,-,(including,gravity).
"524201111000,","-1.0247183,","10.314221,",1.1109096,-,sideward,lying,-,(including,gravity).
"524401159000,","-1.1204864,","8.350976,",1.1013328,-,sideward,lying,-,(including,gravity).
"524600234000,","3.4859576,","11.195287,",2.873042,-,sideward,lying,-,(including,gravity).
"524610897000,","3.371036,","11.013328,",2.72939,-,sideward,lying,-,(including,gravity).
"524620899000,","1.9057846,","10.6398325,",1.8483237,-,sideward,lying,-,(including,gravity).
"524631885000,","-0.49799395,","9.768343,",1.2737153,-,sideward,lying,-,(including,gravity).
"524641474000,","-2.3558946,","9.107543,",2.432509,-,sideward,lying,-,(including,gravity).
"524651679000,","-3.5051112,","8.236053,",3.3423057,-,sideward,lying,-,(including,gravity).
"524662065000,","-3.1411927,","7.469909,",3.5625722,-,sideward,lying,-,(including,gravity).
"524675789000,","-1.8674773,","7.441179,",3.6583402,-,sideward,lying,-,(including,gravity).
"524685753000,","-0.5267244,","7.517793,",3.6296098,-,sideward,lying,-,(including,gravity).
"524699277000,","1.0055647,","7.0581064,",2.8921957,-,sideward,lying,-,(including,gravity).
"524710921000,","1.3599066,","7.249643,",2.384625,-,sideward,lying,-,(including,gravity).
"524720896000,","1.6663644,","7.929596,",2.135628,-,sideward,lying,-,(including,gravity).
"524735562000,","2.5570073,","9.787497,",1.3120226,-,sideward,lying,-,(including,gravity).
"524745900000,","2.719813,","10.0748005,",1.2737153,-,sideward,lying,-,(including,gravity).
"524760709000,","2.6144683,","10.036493,",1.532289,-,sideward,lying,-,(including,gravity).
"524771149000,","2.27928,","9.720459,",1.9536686,-,sideward,lying,-,(including,gravity).
"524785195000,","2.1164744,","9.3182335,",2.1452048,-,sideward,lying,-,(including,gravity).
"524795615000,","2.327164,","9.251195,",1.6376339,-,sideward,lying,-,(including,gravity).
